Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-04-06 20:00:00,1871.30000000,1872.89000000,1870.40000000,1872.88000000,464.98510000,1680818399999,870208.81284000,1865,266.20320000,498271.59804400,0
2023-03-24 20:00:00,1763.86000000,1764.64000000,1728.47000000,1745.21000000,62802.12960000,1679695199999,109533283.06115000,100549,32426.81770000,56561676.15279000,0
2023-03-24 22:00:00,1745.20000000,1753.87000000,1741.63000000,1749.57000000,29234.41140000,1679702399999,51079599.84003200,46616,15545.16130000,27159436.67107300,0
2023-03-25 00:00:00,1749.57000000,1758.41000000,1746.48000000,1753.88000000,24513.54430000,1679709599999,42980604.18675700,47065,11961.07590000,20972715.57438700,0
2023-03-25 02:00:00,1753.88000000,1762.43000000,1753.18000000,1756.00000000,20774.71350000,1679716799999,36507226.66337400,38669,10433.94080000,18335200.94259600,0
2023-03-25 04:00:00,1756.00000000,1759.11000000,1741.77000000,1744.05000000,35203.16900000,1679723999999,61673872.84337300,50291,16382.07090000,28707581.02292200,0
2023-03-25 06:00:00,1744.04000000,1752.80000000,1741.66000000,1747.25000000,20238.65550000,1679731199999,35380329.54866200,39810,10567.46690000,18475498.57270600,0
2023-03-25 08:00:00,1747.26000000,1750.38000000,1736.05000000,1748.17000000,31674.53630000,1679738399999,55232359.58939000,48612,16710.40790000,29138485.36509700,0
2023-03-25 10:00:00,1748.17000000,1750.61000000,1741.72000000,1745.25000000,17657.04420000,1679745599999,30841752.07876700,35123,9769.76400000,17066272.24443800,0
2023-03-25 12:00:00,1745.24000000,1758.80000000,1738.78000000,1754.42000000,30247.41950000,1679752799999,52851704.79195000,55050,14872.12920000,25987688.99171600,0
2023-03-25 14:00:00,1754.42000000,1763.23000000,1744.64000000,1754.93000000,34583.76580000,1679759999999,60648066.13323600,62090,16748.51050000,29370533.54491200,0
2023-03-25 16:00:00,1754.93000000,1757.76000000,1740.74000000,1744.32000000,30754.00140000,1679767199999,53823839.89267500,60115,14624.11800000,25597220.61753000,0
