Open time,Close,High,Low,Volume
2023-07-23 10:00:00,1876.0,1876.16,1874.99,1092.4771
2023-07-10 06:00:00,1856.19,1858.82,1852.55,10936.0355
2023-07-10 08:00:00,1860.43,1865.32,1849.4,19419.51
2023-07-10 10:00:00,1864.0,1865.15,1860.31,11152.3274
2023-07-10 12:00:00,1863.8,1869.63,1860.2,14582.586
2023-07-10 14:00:00,1871.09,1873.75,1863.03,19710.6386
2023-07-10 16:00:00,1868.32,1874.41,1865.54,14932.2078
2023-07-10 18:00:00,1899.98,1901.11,1867.89,47969.9571
2023-07-10 20:00:00,1876.16,1905.5,1876.16,33984.3199
2023-07-10 22:00:00,1880.4,1881.93,1866.75,26406.1644
2023-07-11 00:00:00,1883.24,1884.54,1875.5,14781.1499
2023-07-11 02:00:00,1879.81,1884.06,1876.12,10730.2197
2023-07-11 04:00:00,1877.99,1880.49,1876.9,7188.2602
2023-07-11 06:00:00,1883.0,1891.99,1877.77,22032.8535
2023-07-11 08:00:00,1871.01,1883.82,1866.73,24457.8956
2023-07-11 10:00:00,1867.55,1871.47,1863.99,15437.603
2023-07-11 12:00:00,1868.83,1873.52,1864.54,14657.5881
2023-07-11 14:00:00,1871.69,1882.56,1862.38,28994.29
2023-07-11 16:00:00,1872.99,1876.35,1866.01,13898.1595
2023-07-11 18:00:00,1874.93,1875.31,1867.61,11094.3197
2023-07-11 20:00:00,1875.57,1877.35,1871.78,6209.2053
2023-07-11 22:00:00,1878.3,1880.0,1875.21,8290.0672
2023-07-12 00:00:00,1881.91,1889.38,1876.51,21336.1396
2023-07-12 02:00:00,1880.24,1885.0,1879.54,9907.9513
2023-07-12 04:00:00,1883.59,1885.48,1878.54,10441.7181
2023-07-12 06:00:00,1890.6,1895.61,1881.5,28522.6604
2023-07-12 08:00:00,1889.99,1892.0,1886.4,12220.2411
2023-07-12 10:00:00,1890.65,1891.78,1886.45,10316.7167
2023-07-12 12:00:00,1887.41,1902.0,1878.2,55748.7525
2023-07-12 14:00:00,1883.78,1902.0,1880.97,45226.5223
2023-07-12 16:00:00,1887.22,1891.5,1879.01,19359.2019
2023-07-12 18:00:00,1870.04,1891.0,1866.98,28371.7889
2023-07-12 20:00:00,1871.97,1872.98,1864.37,12974.7989
2023-07-12 22:00:00,1871.82,1874.01,1869.16,9980.3756
2023-07-13 00:00:00,1872.8,1876.13,1868.19,10429.4216
2023-07-13 02:00:00,1867.4,1874.3,1866.0,10309.5731
2023-07-13 04:00:00,1868.42,1869.46,1862.59,12310.5858
2023-07-13 06:00:00,1870.36,1874.5,1866.0,16839.6912
2023-07-13 08:00:00,1882.87,1883.97,1869.86,16149.8977
2023-07-13 10:00:00,1883.72,1885.21,1880.1,10964.2977
2023-07-13 12:00:00,1886.93,1887.68,1876.11,15959.5569
2023-07-13 14:00:00,1932.8,1943.58,1877.61,101803.988
2023-07-13 16:00:00,1989.02,1999.0,1930.9,185224.612
2023-07-13 18:00:00,1995.25,2012.63,1977.0,110406.377
2023-07-13 20:00:00,1982.88,1999.5,1971.28,33542.4294
2023-07-13 22:00:00,2004.49,2009.54,1982.11,24920.9903
2023-07-14 00:00:00,2013.56,2029.11,2002.17,64558.9652
2023-07-14 02:00:00,2009.26,2017.77,2004.68,27811.3347
2023-07-14 04:00:00,2008.67,2012.0,2005.15,16950.5152
2023-07-14 06:00:00,1991.21,2009.51,1987.11,26903.4933
2023-07-14 08:00:00,1996.9,2003.42,1989.0,25706.129
2023-07-14 10:00:00,1992.22,1997.85,1983.81,22214.6459
2023-07-14 12:00:00,1999.45,2004.06,1984.7,28051.416
2023-07-14 14:00:00,1998.51,2007.46,1994.04,27788.3092
2023-07-14 16:00:00,1960.94,2001.18,1959.55,67561.451
2023-07-14 18:00:00,1912.91,1965.29,1898.39,137770.7703
2023-07-14 20:00:00,1929.5,1929.51,1900.33,35758.8986
2023-07-14 22:00:00,1937.83,1938.35,1923.77,17648.1075
2023-07-15 00:00:00,1931.0,1937.83,1927.6,14725.601
2023-07-15 02:00:00,1930.35,1933.14,1926.23,10507.1561
2023-07-15 04:00:00,1929.36,1933.39,1927.05,8943.9034
2023-07-15 06:00:00,1941.86,1943.91,1926.99,18714.814
2023-07-15 08:00:00,1940.61,1943.46,1936.7,11338.1708
2023-07-15 10:00:00,1939.82,1946.37,1937.76,13243.9249
2023-07-15 12:00:00,1936.44,1941.23,1931.21,12501.0515
2023-07-15 14:00:00,1934.81,1937.85,1929.0,12366.5305
2023-07-15 16:00:00,1931.19,1936.12,1929.44,13319.9065
2023-07-15 18:00:00,1933.68,1939.05,1931.18,7150.38
2023-07-15 20:00:00,1930.77,1933.68,1926.6,6651.4696
2023-07-15 22:00:00,1931.41,1931.42,1926.88,5718.858
2023-07-16 00:00:00,1933.6,1937.72,1930.53,6519.0453
2023-07-16 02:00:00,1923.01,1934.7,1914.0,30779.6189
2023-07-16 04:00:00,1925.0,1928.88,1921.99,14656.0543
2023-07-16 06:00:00,1925.43,1931.86,1920.61,12421.2591
2023-07-16 08:00:00,1929.94,1931.35,1925.42,6108.8778
2023-07-16 10:00:00,1933.01,1936.52,1927.83,9997.2776
2023-07-16 12:00:00,1930.03,1936.0,1928.84,7826.547
2023-07-16 14:00:00,1936.81,1943.55,1930.03,15168.5065
2023-07-16 16:00:00,1937.34,1939.43,1934.21,6702.8667
2023-07-16 18:00:00,1927.78,1938.35,1925.79,10575.7498
2023-07-16 20:00:00,1930.44,1931.18,1926.79,6854.7979
2023-07-16 22:00:00,1922.11,1937.2,1916.73,21056.5042
2023-07-17 00:00:00,1924.2,1929.32,1917.23,17799.281
2023-07-17 02:00:00,1931.23,1932.6,1923.82,9729.466
2023-07-17 04:00:00,1930.36,1936.18,1929.21,13909.8022
2023-07-17 06:00:00,1928.69,1932.59,1926.71,8890.3913
2023-07-17 08:00:00,1914.83,1931.35,1911.73,16712.7295
2023-07-17 10:00:00,1910.09,1918.89,1889.36,45732.7781
2023-07-17 12:00:00,1916.23,1917.39,1900.33,25493.6518
2023-07-17 14:00:00,1908.81,1917.54,1903.1,16514.5651
2023-07-17 16:00:00,1896.02,1913.2,1890.72,34185.2433
2023-07-17 18:00:00,1886.39,1897.5,1873.26,50314.2449
2023-07-17 20:00:00,1916.81,1920.2,1885.83,23372.4311
2023-07-17 22:00:00,1911.2,1919.5,1907.34,14504.4506
2023-07-18 00:00:00,1915.29,1917.19,1910.04,11618.1408
2023-07-18 02:00:00,1908.88,1916.36,1906.25,8214.4733
2023-07-18 04:00:00,1904.42,1911.72,1903.77,14489.0132
2023-07-18 06:00:00,1898.99,1909.24,1893.36,23432.2682
2023-07-18 08:00:00,1897.9,1907.49,1893.21,20707.1018
2023-07-18 10:00:00,1894.15,1909.64,1890.8,18508.408
2023-07-18 12:00:00,1893.67,1896.4,1885.08,29210.4753
2023-07-18 14:00:00,1897.2,1903.66,1891.24,20622.6483
2023-07-18 16:00:00,1891.43,1901.24,1875.73,30055.4199
2023-07-18 18:00:00,1892.05,1903.58,1890.06,17244.9576
2023-07-18 20:00:00,1897.16,1898.99,1889.57,9488.7144
2023-07-18 22:00:00,1897.21,1902.27,1892.94,12188.8798
2023-07-19 00:00:00,1909.09,1913.26,1895.09,22055.3222
2023-07-19 02:00:00,1912.48,1915.44,1906.88,12714.3572
2023-07-19 04:00:00,1913.72,1917.98,1911.14,14103.6469
2023-07-19 06:00:00,1908.61,1914.61,1907.0,10189.5037
2023-07-19 08:00:00,1909.66,1911.95,1902.28,13248.9242
2023-07-19 10:00:00,1909.28,1910.86,1907.63,6551.3579
2023-07-19 12:00:00,1910.76,1922.04,1902.48,22563.5962
2023-07-19 14:00:00,1906.31,1912.69,1894.24,26472.88
2023-07-19 16:00:00,1909.14,1917.74,1900.9,21140.8692
2023-07-19 18:00:00,1910.0,1915.0,1904.52,18427.528
2023-07-19 20:00:00,1893.91,1910.37,1882.17,35699.1236
2023-07-19 22:00:00,1888.63,1894.9,1884.84,14877.8914
2023-07-20 00:00:00,1894.47,1895.99,1882.7,16078.2923
2023-07-20 02:00:00,1894.33,1899.9,1892.28,10507.5889
2023-07-20 04:00:00,1906.7,1909.61,1893.35,17075.5996
2023-07-20 06:00:00,1912.52,1914.36,1903.79,23593.7603
2023-07-20 08:00:00,1918.79,1921.41,1911.5,31979.7099
2023-07-20 10:00:00,1921.47,1929.05,1917.68,32567.5328
2023-07-20 12:00:00,1917.76,1923.0,1912.98,22708.0712
2023-07-20 14:00:00,1888.61,1919.19,1884.45,62602.5027
2023-07-20 16:00:00,1890.41,1893.67,1878.0,32196.4342
2023-07-20 18:00:00,1887.98,1890.88,1881.41,20755.6771
2023-07-20 20:00:00,1897.68,1898.19,1882.31,13923.3355
2023-07-20 22:00:00,1891.59,1898.74,1890.66,8919.0119
2023-07-21 00:00:00,1896.13,1897.55,1886.64,13708.0903
2023-07-21 02:00:00,1896.77,1901.76,1894.59,13213.7093
2023-07-21 04:00:00,1892.2,1897.52,1890.63,9226.2124
2023-07-21 06:00:00,1889.3,1894.54,1887.6,13658.18
2023-07-21 08:00:00,1885.39,1894.15,1884.86,14016.0272
2023-07-21 10:00:00,1889.25,1889.8,1884.64,13032.8836
2023-07-21 12:00:00,1889.31,1896.41,1888.42,18578.0978
2023-07-21 14:00:00,1891.07,1895.7,1886.17,14932.6316
2023-07-21 16:00:00,1898.32,1898.92,1888.77,16018.3142
2023-07-21 18:00:00,1894.64,1905.74,1885.13,25112.6655
2023-07-21 20:00:00,1894.0,1896.24,1891.02,7203.8067
2023-07-21 22:00:00,1891.73,1895.46,1890.59,6853.4242
2023-07-22 00:00:00,1891.82,1897.35,1891.14,7898.4785
2023-07-22 02:00:00,1892.85,1895.65,1891.2,9039.1322
2023-07-22 04:00:00,1892.8,1895.87,1892.41,6541.7215
2023-07-22 06:00:00,1891.78,1895.16,1890.42,7856.7938
2023-07-22 08:00:00,1889.83,1894.53,1888.11,6990.1794
2023-07-22 10:00:00,1888.02,1889.84,1883.79,10028.117
2023-07-22 12:00:00,1886.98,1888.4,1885.0,5567.1344
2023-07-22 14:00:00,1888.65,1890.25,1886.01,8166.2915
2023-07-22 16:00:00,1885.11,1890.59,1884.6,4649.5716
2023-07-22 18:00:00,1887.28,1888.13,1882.02,8738.4533
2023-07-22 20:00:00,1886.98,1888.54,1885.83,5775.6575
2023-07-22 22:00:00,1866.52,1888.29,1851.18,50650.118
2023-07-23 00:00:00,1869.8,1871.5,1857.82,21494.3685
2023-07-23 02:00:00,1869.28,1873.4,1867.12,11016.1517
2023-07-23 04:00:00,1875.0,1879.14,1869.27,10898.4098
2023-07-23 06:00:00,1875.04,1875.74,1872.54,7662.8207
2023-07-23 08:00:00,1874.99,1878.43,1873.8,5899.0068
2023-05-29 16:00:00,1891.19,1894.99,1873.65,33963.9295
2023-05-29 18:00:00,1891.2,1895.76,1889.0,13833.4446
