Timestamp,Open,High,Low,Close,Volume
2020-12-01 00:00:00,19695.87,19888.0,18886.0,19425.0,52896.002153
2020-12-01 12:00:00,19425.4,19489.3,18001.12,18764.96,74802.760499
2020-12-02 00:00:00,18764.96,19342.0,18330.0,19127.31,41903.650189
2020-12-02 12:00:00,19127.31,19260.0,18728.38,19204.09,34007.363289
2020-12-03 00:00:00,19204.08,19450.0,18867.2,19396.5,35353.098035
2020-12-03 12:00:00,19396.49,19598.0,19194.06,19421.9,31336.293244
2020-12-04 00:00:00,19422.34,19527.0,18700.0,18833.25,36356.223607
2020-12-04 12:00:00,18834.48,19146.22,18565.31,18650.52,34927.444593
2020-12-05 00:00:00,18650.51,19177.0,18500.0,19013.43,26161.592868
2020-12-05 12:00:00,19013.43,19172.37,18941.74,19147.66,16761.155705
2020-12-06 00:00:00,19147.66,19342.0,18950.87,19089.16,17813.608249
2020-12-06 12:00:00,19089.15,19420.0,18857.0,19359.4,19229.483612
2020-12-07 00:00:00,19358.67,19420.91,19090.0,19103.58,18815.684569
2020-12-07 12:00:00,19103.79,19257.03,18902.88,19166.9,22556.611724
2020-12-08 00:00:00,19166.9,19294.84,18700.0,18762.96,26268.684101
2020-12-08 12:00:00,18762.95,18974.83,18200.0,18324.11,35358.263513
2020-12-09 00:00:00,18324.11,18380.0,17650.0,18244.95,46420.358082
2020-12-09 12:00:00,18244.94,18639.57,18165.0,18541.28,33165.195719
2020-12-10 00:00:00,18541.29,18557.32,18070.0,18192.49,23884.068774
2020-12-10 12:00:00,18192.5,18435.74,17911.12,18254.63,29006.60632
2020-12-11 00:00:00,18254.81,18292.73,17572.33,17647.71,41387.035065
2020-12-11 12:00:00,17647.71,18184.0,17617.0,18036.53,31223.689194
2020-12-12 00:00:00,18036.53,18513.66,18020.7,18506.1,22519.641617
2020-12-12 12:00:00,18506.1,18948.66,18308.82,18808.69,27000.336815
2020-12-13 00:00:00,18808.69,19370.0,18711.12,19316.81,29598.333149
2020-12-13 12:00:00,19316.8,19411.0,18971.0,19174.99,26962.488595
2020-12-14 00:00:00,19174.99,19347.0,19000.0,19106.44,23631.882886
2020-12-14 12:00:00,19106.43,19349.0,19028.97,19273.14,23625.318408
2020-12-15 00:00:00,19273.69,19570.0,19050.0,19293.54,33868.250663
2020-12-15 12:00:00,19293.54,19547.0,19256.27,19426.43,27966.115348
2020-12-16 00:00:00,19426.43,19860.0,19278.6,19739.78,31815.994267
2020-12-16 12:00:00,19739.78,21560.0,19680.0,21335.52,82490.341303
2020-12-17 00:00:00,21335.52,23800.0,21230.0,22752.16,97777.574348
2020-12-17 12:00:00,22752.15,23699.7,22311.1,22797.16,87104.9024
2020-12-18 00:00:00,22797.15,23285.18,22470.35,22886.17,41406.386861
2020-12-18 12:00:00,22886.18,23143.56,22350.0,23107.39,38239.747454
2020-12-19 00:00:00,23107.39,23225.0,22750.0,22888.54,26478.918027
2020-12-19 12:00:00,22888.53,24171.47,22886.79,23821.61,59566.14665
2020-12-20 00:00:00,23821.6,23836.48,23060.0,23553.02,32254.585033
2020-12-20 12:00:00,23553.02,24295.0,23090.0,23455.52,44435.560652
2020-12-21 00:00:00,23455.54,24102.77,22350.0,22645.85,54708.21837
2020-12-21 12:00:00,22646.7,23254.33,21815.0,22719.71,33322.078873
2020-12-22 00:00:00,22719.88,23155.0,22353.4,23119.48,42176.538896
2020-12-22 12:00:00,23119.47,23837.1,23062.01,23810.79,44856.587264
2020-12-23 00:00:00,23810.79,24050.0,22810.0,23064.01,51271.98005
2020-12-23 12:00:00,23064.01,24100.0,22600.0,23232.76,67775.279683
2020-12-24 00:00:00,23232.39,23479.26,22703.42,23218.68,38319.876749
2020-12-24 12:00:00,23218.67,23794.43,23012.29,23729.2,30693.957503
2020-12-25 00:00:00,23728.99,24681.0,23433.6,24574.4,37368.363213
2020-12-25 12:00:00,24574.4,24789.86,23785.5,24712.47,42151.580356
2020-12-26 00:00:00,24712.47,25039.96,24500.0,24834.36,32094.115885
2020-12-26 12:00:00,24834.36,26867.03,24734.94,26493.39,65712.397501
2020-12-27 00:00:00,26493.4,28422.0,26427.16,27646.48,73092.332291
2020-12-27 12:00:00,27647.55,27777.0,25700.0,26281.66,75363.253923
2020-12-28 00:00:00,26281.54,27356.3,26101.0,26859.07,39077.031045
2020-12-28 12:00:00,26859.07,27500.0,26415.09,27079.41,40644.711451
2020-12-29 00:00:00,27079.42,27116.78,25880.0,26876.4,33494.57837
2020-12-29 12:00:00,26874.55,27410.0,26204.99,27385.0,35917.014236
2020-12-30 00:00:00,27385.0,28598.74,27320.0,27838.82,54649.488582
2020-12-30 12:00:00,27836.95,28996.0,27577.0,28875.54,40706.569244
2020-12-31 00:00:00,28875.55,29300.0,28120.67,28910.3,37756.299587
2020-12-31 12:00:00,28910.29,29169.55,27850.0,28923.63,37752.205565
2021-01-01 00:00:00,28923.63,29470.0,28690.17,29313.49,27153.072146
2021-01-01 12:00:00,29313.49,29600.0,28624.57,29331.69,27029.852865
2021-01-02 00:00:00,29331.7,29899.0,28946.53,29755.0,26485.475979
2021-01-02 12:00:00,29754.99,33300.0,29741.39,32178.33,103508.397383
2021-01-03 00:00:00,32176.45,34778.11,31962.99,34413.53,59827.96207
2021-01-03 12:00:00,34413.53,34600.0,32267.0,33000.05,61129.60468
2021-01-04 00:00:00,33000.05,33600.0,28130.0,30743.06,82527.133554
2021-01-04 12:00:00,30742.99,32185.67,30454.25,31988.71,58372.752136
2021-01-05 00:00:00,31989.75,32853.38,29900.0,31776.66,57087.736878
2021-01-05 12:00:00,31776.66,34360.0,31111.78,33949.53,58962.26016
2021-01-06 00:00:00,33949.53,35766.58,33288.0,34918.53,62995.369436
2021-01-06 12:00:00,34918.54,36939.21,34052.42,36769.36,64143.831874
2021-01-07 00:00:00,36769.36,37913.72,36300.0,37822.09,53191.397702
2021-01-07 12:00:00,37825.64,40365.0,36500.0,39432.28,79634.302735
2021-01-08 00:00:00,39432.48,41500.45,36500.0,41286.67,68099.923855
2021-01-08 12:00:00,41286.67,41950.0,38652.0,40582.81,71690.033644
2021-01-09 00:00:00,40586.96,41237.44,38720.0,40565.77,40888.602045
2021-01-09 12:00:00,40565.77,41380.0,39869.0,40088.22,34897.37763
2021-01-10 00:00:00,40088.22,41350.0,38888.0,39181.76,39820.585147
2021-01-10 12:00:00,39175.09,40126.0,35111.11,38150.02,78388.959356
2021-01-11 00:00:00,38150.02,38264.74,32538.0,34198.56,109921.202527
2021-01-11 12:00:00,34198.55,35638.55,30420.0,35404.47,141234.93576
2021-01-12 00:00:00,35410.37,36628.0,33677.03,35410.99,62106.571642
2021-01-12 12:00:00,35410.99,35688.82,32531.0,34051.24,71841.580354
2021-01-13 00:00:00,34049.15,35250.0,32380.0,34385.48,67383.085009
2021-01-13 12:00:00,34385.48,37850.0,34017.0,37371.38,57094.829929
2021-01-14 00:00:00,37371.38,38786.1,36701.23,38365.86,45557.5264
2021-01-14 12:00:00,38365.86,40100.0,37707.0,39144.5,57392.863021
2021-01-15 00:00:00,39145.21,39747.76,37554.94,38108.88,39014.962364
2021-01-15 12:00:00,38108.87,38194.04,34408.0,36742.22,79285.958552
2021-01-16 00:00:00,36737.43,37950.0,35520.0,37680.0,43331.386766
2021-01-16 12:00:00,37680.0,37886.0,35357.8,35994.98,43017.044742
2021-01-17 00:00:00,35994.98,36744.05,33850.0,35267.17,45399.876134
2021-01-17 12:00:00,35270.0,36852.5,34666.0,35828.61,34757.85125
2021-01-18 00:00:00,35824.99,36650.0,34800.0,36442.08,34515.956404
2021-01-18 12:00:00,36443.91,37469.83,35400.0,36631.27,36182.162346
2021-01-19 00:00:00,36622.46,37535.27,36002.01,37266.49,41802.410271
2021-01-19 12:00:00,37263.73,37850.0,35844.06,35891.49,37808.897498
2021-01-20 00:00:00,35901.94,36415.31,34000.0,34426.17,46893.421226
2021-01-20 12:00:00,34426.17,35670.0,33400.0,35468.23,42475.001692
2021-01-21 00:00:00,35468.23,35600.0,32009.68,32208.62,54812.83014
2021-01-21 12:00:00,32206.89,32784.31,30071.0,30850.13,80191.246518
2021-01-22 00:00:00,30851.99,32152.9,28850.0,31710.88,91497.465132
2021-01-22 12:00:00,31712.09,33826.53,31286.0,32945.17,51474.218917
2021-01-23 00:00:00,32950.0,33456.0,31511.24,31645.49,37130.344616
2021-01-23 12:00:00,31643.9,32538.61,31390.16,32078.0,27464.943059
2021-01-24 00:00:00,32078.0,33071.0,31630.0,32833.37,26502.595863
2021-01-24 12:00:00,32833.37,32931.59,30900.0,32259.9,31475.442103
2021-01-25 00:00:00,32259.45,33797.96,32175.61,33185.26,37059.5798
2021-01-25 12:00:00,33185.25,34875.0,31910.0,32254.2,51439.647121
2021-01-26 00:00:00,32254.19,32827.33,31100.0,31796.95,42546.690792
2021-01-26 12:00:00,31798.65,32921.88,30837.37,32467.77,42425.516118
2021-01-27 00:00:00,32464.01,32557.29,30578.94,30639.05,34593.290206
2021-01-27 12:00:00,30635.74,31649.99,29241.72,30366.15,61318.671505
2021-01-28 00:00:00,30362.19,31876.63,29842.1,31437.37,38504.403685
2021-01-28 12:00:00,31437.37,33783.98,31161.96,33364.86,54116.741932
2021-01-29 00:00:00,33368.18,37990.0,31915.4,37025.32,129828.236536
2021-01-29 12:00:00,37023.83,38531.9,33500.0,34252.2,101998.76909
2021-01-30 00:00:00,34246.28,34933.0,32825.0,33660.4,50394.577542
2021-01-30 12:00:00,33660.4,34800.0,33410.63,34262.88,34495.103798
2021-01-31 00:00:00,34262.89,34342.69,33205.0,33563.23,26533.64027
2021-01-31 12:00:00,33563.24,34220.0,32171.67,33092.98,42208.640114
2021-02-01 00:00:00,33092.97,34717.27,32296.16,34183.33,49546.369401
2021-02-01 12:00:00,34183.33,34460.0,33133.26,33526.37,33171.907481
2021-02-02 00:00:00,33517.09,35668.1,33418.0,34720.15,41601.98797
